Iteration,PrismaDur,MonoDur,SplitDur,MonoSize,SplitSize,Reduction%
1,131.97410000000002,741.1400000000001,111.53589999999986,17636708,1131567,93.58
2,91.72699999999986,702.6077999999998,105.20140000000038,17636708,1131567,93.58
3,88.07150000000001,746.0498000000002,104.22679999999991,17636708,1131567,93.58
4,87.75810000000001,690.6538000000005,108.8125,17636708,1131567,93.58
5,99.02229999999963,742.7888000000003,101.4326000000001,17636708,1131567,93.58
6,95.21370000000024,705.5620999999992,106.08429999999953,17636708,1131567,93.58
7,90.83440000000064,719.3177999999998,104.41679999999997,17636708,1131567,93.58
8,92.23549999999977,704.9716000000008,104.30279999999948,17636708,1131567,93.58
9,90.57839999999851,691.0732000000007,101.68239999999969,17636708,1131567,93.58
10,94.21709999999985,735.2937000000002,97.64719999999943,17636708,1131567,93.58
11,97.29190000000017,683.4086000000007,98.70039999999972,17636708,1131567,93.58
12,89.53279999999904,681.7378999999983,96.29069999999956,17636708,1131567,93.58
13,87.7445000000007,716.0993999999992,100.89990000000034,17636708,1131567,93.58
14,90.09469999999965,693.7349000000013,97.95780000000013,17636708,1131567,93.58
15,86.59280000000035,704.6669999999995,101.60879999999997,17636708,1131567,93.58
16,88.87700000000041,722.2943999999989,98.27160000000003,17636708,1131567,93.58
17,89.69210000000021,682.8123000000014,98.89490000000296,17636708,1131567,93.58
18,92.35739999999714,690.8068999999996,100.89129999999932,17636708,1131567,93.58
19,89.59999999999854,706.1941000000006,99.2667999999976,17636708,1131567,93.58
20,91.34769999999844,695.7003000000004,104.39709999999832,17636708,1131567,93.58
21,88.99169999999867,691.302499999998,114.10680000000139,17636708,1131567,93.58
22,100.42480000000069,706.1278999999995,97.79539999999906,17636708,1131567,93.58
23,91.25849999999991,668.3921000000009,100.44280000000072,17636708,1131567,93.58
24,87.4419999999991,674.047300000002,105.67090000000098,17636708,1131567,93.58
25,89.80450000000201,684.0285999999978,103.70899999999892,17636708,1131567,93.58
26,105.02319999999963,709.1150999999991,122.28340000000026,17636708,1131567,93.58
27,103.24269999999888,692.2926000000007,104.28280000000086,17636708,1131567,93.58
28,93.56760000000213,694.1692000000003,99.45469999999841,17636708,1131567,93.58
29,91.41759999999704,694.2724999999991,99.22940000000017,17636708,1131567,93.58
30,111.48619999999937,673.0298999999977,102.27700000000186,17636708,1131567,93.58
31,100.91609999999855,670.6555999999982,102.59699999999793,17636708,1131567,93.58
32,90.09190000000308,697.614999999998,96.89419999999518,17636708,1131567,93.58
33,91.30819999999949,662.1514999999999,100.68310000000201,17636708,1131567,93.58
34,86.07299999999668,668.273000000001,102.12429999999586,17636708,1131567,93.58
35,90.20670000000246,711.6005999999979,117.59300000000076,17636708,1131567,93.58
36,105.51060000000143,688.5267999999996,94.57130000000325,17636708,1131567,93.58
37,87.642399999997,656.4015999999974,98.3327999999965,17636708,1131567,93.58
38,90.3998999999967,654.1080000000002,103.39879999999539,17636708,1131567,93.58
39,92.47209999999905,674.3888999999981,99.62689999999566,17636708,1131567,93.58
40,99.47890000000189,674.4962000000014,103.91950000000361,17636708,1131567,93.58
41,90.3830999999991,672.6961999999985,100.77509999999893,17636708,1131567,93.58
42,84.63910000000033,668.5290000000023,96.99879999999393,17636708,1131567,93.58
43,85.30750000000262,690.7622999999949,98.1160000000018,17636708,1131567,93.58
44,88.04579999999987,677.5826000000015,99.49900000000343,17636708,1131567,93.58
45,93.21110000000044,671.4801000000007,98.51009999999951,17636708,1131567,93.58
46,94.97059999999328,725.575699999994,103.10349999999744,17636708,1131567,93.58
47,89.14740000000165,657.9095000000016,100.36099999999715,17636708,1131567,93.58
48,89.8148000000001,664.441899999998,96.6310999999987,17636708,1131567,93.58
49,93.10060000000522,654.1221000000005,98.90630000000237,17636708,1131567,93.58
50,87.8076000000001,694.3692999999985,100.29039999999804,17636708,1131567,93.58
51,86.20010000000184,672.3315000000002,101.79820000000473,17636708,1131567,93.58
52,89.59300000000076,673.0540000000037,96.61910000000353,17636708,1131567,93.58
53,94.23710000000574,699.4915000000037,97.58929999999964,17636708,1131567,93.58
54,92.70969999999943,685.0754000000015,100.32900000000518,17636708,1131567,93.58
55,89.91219999999885,662.7664999999979,99.22389999999723,17636708,1131567,93.58
56,86.57170000000042,712.1419999999998,97.08920000000217,17636708,1131567,93.58
57,90.47939999999653,674.3965000000026,102.0025999999998,17636708,1131567,93.58
58,86.55340000000433,667.0717000000004,101.5060999999987,17636708,1131567,93.58
59,89.2074999999968,713.2710000000006,98.83950000000186,17636708,1131567,93.58
60,94.46769999999378,689.8631999999998,101.65639999999985,17636708,1131567,93.58
61,89.32170000000042,676.3954999999987,101.15090000000055,17636708,1131567,93.58
62,88.52170000000478,679.5117000000027,102.83340000000317,17636708,1131567,93.58
63,93.49730000000272,677.0123999999996,99.85329999999522,17636708,1131567,93.58
64,85.92870000000403,677.3824999999997,101.38300000000163,17636708,1131567,93.58
65,90.74590000000171,668.4161000000022,98.494200000001,17636708,1131567,93.58
66,87.56489999999758,697.8868999999977,100.90170000000217,17636708,1131567,93.58
67,95.60380000001169,681.363200000007,106.00890000000072,17636708,1131567,93.58
68,89.29639999999199,677.6442999999999,100.5,17636708,1131567,93.58
69,91.44749999999476,690.7258999999904,98.17450000000827,17636708,1131567,93.58
70,85.204899999997,681.2982999999949,96.42750000000524,17636708,1131567,93.58
71,89.34769999999844,663.8724000000075,96.21890000000712,17636708,1131567,93.58
72,89.94970000001194,701.040399999998,101.26660000000265,17636708,1131567,93.58
73,87.65509999998903,647.9337999999989,108.08030000000144,17636708,1131567,93.58
74,87.84799999999814,673.1914000000106,101.80710000000545,17636708,1131567,93.58
75,91.62850000000617,653.3652999999904,99.22520000000077,17636708,1131567,93.58
76,106.18439999999828,693.7832000000053,126.76880000000529,17636708,1131567,93.58
77,87.90639999999257,660.1143000000011,100.86900000000605,17636708,1131567,93.58
78,93.45930000000226,662.3173000000097,99.78919999999925,17636708,1131567,93.58
79,101.1030000000028,677.527900000001,99.68189999999595,17636708,1131567,93.58
80,106.21059999999125,674.0298999999941,114.76260000000184,17636708,1131567,93.58
81,91.74320000001171,685.6699999999983,106.40630000000237,17636708,1131567,93.58
82,93.5460000000021,676.1145999999862,98.10669999998936,17636708,1131567,93.58
83,108.11629999999423,662.3000000000029,99.60259999999835,17636708,1131567,93.58
84,87.79179999999178,674.5481,101.19479999999749,17636708,1131567,93.58
85,100.05100000000675,659.5935000000027,97.55869999999413,17636708,1131567,93.58
86,103.03579999999783,677.5962,97.70269999999437,17636708,1131567,93.58
87,91.85989999999583,683.4239999999991,100.24220000000787,17636708,1131567,93.58
88,87.98050000000512,698.8813999999984,95.81440000000293,17636708,1131567,93.58
89,99.93659999998636,666.3073000000004,99.28889999999956,17636708,1131567,93.58
90,88.67149999999674,671.9968000000081,98.72480000001087,17636708,1131567,93.58
91,90.84549999999581,659.6373000000021,100.71920000000682,17636708,1131567,93.58
92,88.70150000001013,698.0838999999978,96.70329999999376,17636708,1131567,93.58
93,86.70570000000589,661.9838000000018,96.93989999999758,17636708,1131567,93.58
94,89.11719999999332,1175.508799999996,95.88430000000517,17636708,1131567,93.58
95,102.08979999998701,697.3214000000007,101.07259999999951,17636708,1131567,93.58
96,87.75110000000859,668.8343000000023,96.57229999999981,17636708,1131567,93.58
97,88.50190000000293,656.0625,95.63809999999648,17636708,1131567,93.58
98,85.51870000000054,676.3920999999973,110.8457999999955,17636708,1131567,93.58
99,88.06239999999525,694.641300000003,101.18989999999758,17636708,1131567,93.58
100,90.7734000000055,685.2540000000008,106.7390000000014,17636708,1131567,93.58